,Sikayet Icerigi
0,"Akmina karadutlu 1 litre maden suyu A101'den devamlı aldığım bir üründür ama maalesef bozuk meyve kokusu ve bozuk meyve tadı var. Keyifle içerdim, bu durum beni ciddi rahatsız etti. Bir açıklaması ve izahı var mıdır? Yetkililere duyurulur. Alım tarihi 01/07/2024 bilginize."
2,Macromusic uygulamasından yanlışlıkla yapmış olduğum satın alma işlemimin iptal edilip para iadesinin yapılmasını istedim ancak uygulamadaki 3 aylık abonelik satın alınmasının iptal edilmesine rağmen para iadesi gerçekleştirilmedi. Para iadesinin yapılmasını istiyorum.
3,"Siteye para yatırdığım halde eklenmedi. Canlı desteğe bağlanması 1 saat sürüyor. Oyunlarda hile olduğunu düşünüyorum. Sürekli 'Para yatır, bakiyen şuna ulaşsın' gibi gün içerisinde hem Telegram'da hem de mesajlardan sürekli bildirim geliyor. Siteden şikayetçiyim."
7,"Yatırım yaptım, çekim işlemi yapmak istiyorum. 3 haftadır e-posta doğrulama kodunu göndermedikleri için çekim işlemi yapamıyorum. Yatırım yaparken sıkıntı olmuyor ama çekim işlemi yapmak istediğimde saçma sapan şeyler nedeniyle onay vermiyorlar. Para yatırmayı düşünmeyin."
10,23.06.2024 tarihinde ATM'den yatırdığım para hesaba geçmedi. Takip eden dakikalarda hemen bankayı arayıp kayıt oluşturup şikayetimi bildirdim (8022754233 bildirim no). 4 iş günü içinde sonuçlanacağını söylediler fakat halen bir sonuç alamadım. En kısa sürede paramın hesabıma geçmesini talep ediyorum.
12,"BES iptalini daha önce gerçekleştirmiştim. Beni telefonda arayarak kapatıldığını söylediler. Doğru, kapalı görülüyor. E-devlet'ten baktığımda, fakat bu üçüncü şikayetim olacak, aradan aylar geçmiş olmasına rağmen paramı hala yatırmadılar. Param neden yatırılmıyor?"
13,"Merhaba, TikTok'a Google hesabımla kayıt oldum ve kayıt olduğum e-postamı başka bir hesaba aktarmak istiyorum. E-postayı değiştirdim ancak hala eski hesabıma giriyor. Yardımcı olur musunuz? WhatsApp'tan ulaşabilirsiniz. Aramayın, çalışıyorum. Duymam. 0551********76. Instagram: salimcanevkuran_official"
16,"Benim bundan bir buçuk ay önce oğlum sünnet oldu. Hâlâ iyileşemedi, psikolojik olarak kötü durumda. Sünnet yaşadığı korkuyu atlatamıyor, kıyafet bile giyemiyor. Çalışanlarından bazıları çok saygısız. Umarım bu mesajı biri okur da orada asla sünnet ettirmeyiz. Lütfen, biz bu süreci atlatmaya çalışıyoruz."
17,"Merhaba, Step Up uygulamasıyla görevleri yerine getirdim ve kazandım. 6 gün oldu, 96. sıradayım ve ilerlemiyor bile. Uygulamayı Google Play Store üzerinden indirdim. Önceden 20 kuruş gönderiyordu ama şimdi kazancı göndermiyor. Çözüm olacağını düşünmüyorum ama yine de şikayet edeyim."
18,KPSS 2024 ön lisans başvurusu yaptım ama ücretini yatırmadım. 2024 KPSS ortaöğretime gireceğimden dolayı herhangi bir problem olur mu? 2024 KPSS ön lisansa başvuru yaptım ama ücretini ödemediğim için iptal olacak. Zaten ortaöğretime yapacağım başvuruyu etkiler mi ya da yapabilir miyim?
19,"Bu oyun para falan vermiyor, sürekli oyalıyor. Kimse oynamasın. 1 haftadır uğraşıyorum görevleri tamamlamak için. Görevleri bitirdim ama yine para falan yatmadı. Bu nasıl bir oyun, başka bir şey değil. Kimse oynamasın arkadaşlar, para falan vermiyorlar."
20,"Bu oyun para falan vermiyor, sürekli oyalıyor. Kimse oynamasın. 1 haftadır uğraşıyorum görevleri tamamlamak için. Görevleri bitirdim ama yine para falan yatmadı. Bu nasıl bir oyun, başka bir şey değil. Kimse oynamasın arkadaşlar, para falan vermiyorlar."
21,Merhaba 1 yıldır Vodafone kullanıcısıyım. 269 TL lik taahhüdüm ay sonu bitiyor ve sunulan teklif şu an ki kullandığım tarife ücretinin yaklaşık 2 katı. Lütfen daha uygun teklif veriniz. Aksi bir durumda farklı bir operatör e geçmek zorunda kalacağım.
23,"VakıfBank'dan kullanmış olduğum bireysel kredinin içerisinden 787,50 lira Kazandıran tarife adı altında bir kesinti yapılmış. Ben böyle bir şey satın almayı talep etmedim. Tarafımdan haksız olarak yapılan bu kesintinin iptalini ve iadesini talep ediyorum. Sorunumun çözüme kavuşturulmasını istiyorum. Vb. Müşteri No:445005024623"
26,"Saat 00.35'te kalkması gereken uçağa insanları bindirip uçağın içinde rötar yaptırdılar. Saat şu an 3, iniş sağlandı. Şu an uçağın içinden yazıyorum, rahat yarım saattir indik, halen kapılar açılmıyor. İnsanlar rehine gibi çıldırmış vaziyette. Sebebi nedir bilmiyorum fakat vermiş olduğumuz paraya üzüldük açıkçası."
27,"RKS Vieste 249 motorumun anahtarları kayboldu. Hangi servise gittiysem parça temini yapamıyorlar. Bu nasıl iş anlamıyorum, 2 buçuk aydır motorumu kullanamıyorum. Fabrikada parça yokmuş ve hala gelmedi diyorlar. 160 bin liralık motor hurda gibi duruyor. Bu kadar umursamazlık olamaz."
28,Çocuklar benden habersiz telefonuma remine uygulamasını indirdi. Üyelik iptal etmeme rağmen iptal olmamış. Kartımdan benden habersiz para çekilmiş. Üyeliği tekrar iptal ettim ama ücret İade edilmedi ve geri dönüş yapılmadı para iadesi talep ediyorum.
29,35 dakikadır müşteri hizmetlerine ulaşamıyorum. Ulaştıktan sonra bölgesel bir sıkıntı olduğu söylendi. Müşteri temsilcisinin sesini alamadım yüzüme kapattı. Her ay sürekli şikayet kaydı bırakıyorum düzenli olarak internetim kopuyor BTK şikayetlerimde mevcut. Herhangi bir özür herhangi bir dönüş sağlanmıyor
31,"Sığınmacı istemiyorum oyunda. Ben artık Suriyeliler ile oynamak istemiyorum, sürekli küfür ve hakaret içeriyor. Ya bu oyunu adam gibi ayırın ya da kapatın. Bunlarla zaten normal hayatta sorun yaşıyoruz. Bari sanalda uzak kalsınlar, yeter dayanılır gibi değil. İki kelime Türkçe öğrenmişler, o da sadece küfür."
35,"Aylık 140 TL'lik taahhüdüm olduğu ve herhangi bir aşımda da bulunmadığım halde bana her ay kafasına göre fatura gönderen Vodafone, sen iflah olmazsın. Ne müşteri hizmetlerinize ulaşmak mümkün ne de müşteri temsilcilerinizin bir şeyden anladıkları var. Taahhüdüm bitse de kurtulsam."
36,Merhaba arkadaşlar başvuru yapan arkadaşlara sormak istiyorum. Bu tarz evde paketleme başvuruları genelde güvenilir olmayıp para yatırmanızı İstiyorlar yapmadığınız takdirde adınıza işlem başlatacağız diye para kazanmaya çalışıyorlar. İŞKUR'un kendi sitesinden girip baktığım zaman böyle bir iş başvurusu çıkmıyor. Cevap alan işe başlayan var mı aranızda?
37,"Sürüş puanım düşük olduğu için bir süre sizi misafir edemeyeceğini söyleyen Tiktak uygulaması, 1 senedir hiçbir şekilde geri dönüş yapmadı. Ne zamana kadar bu şekilde uygulamadan yararlanamayacağım? 1 senedir bekliyorum. Hiçbir şekilde bu süre zarfında tekrardan kiralama yapabileceğimi belirtmedi."
38,Unkapanı SGK ölüm karar 2 birimine 6 ay oldu dilekçe yazdım yetim aylığım hala bağlanmadı sonuç bekliyorum. Aradığım da ise hiçbir müşteri hizmetleri bağlanmıyor ne yapmak lazım? Çözüm odağı bulamıyorum muhatap yok lütfen geri dönüş yapınız mağdur durumda kaldım
43,"1840.85 TL tutarında firmanın e-ticaret üzerinden alışveriş yaptım. Sipariş numarası IJT0090055269 olan ürünlerimin aciliyeti vardır. Takip yapamıyorum. Rica ediyorum, biri beni bilgilendirsin. Bana ulaşırsanız sevinirim. Kaç gün oldu, mail dahi yok, rica ediyorum."
44,"Butikponcik ürünlerimi zamanında göndermedi. Benim gibi mağdur olan arkadaşlar, toplanıp mahkemeye başvuralım. Korkmayın arkadaşlar, hakkımızı arıyoruz. Çocuğumuzun rızkını bu duruma harcamayalım. Destek verin, bu durumu şikayet edelim."
45,"Metro Turizm 02.07.2024 saat 21.30 otobüsü 3.5 saat dediği yola 5 saat oldu hala gelemedik. Araç içerisindekilerin tavırları zaten sanki geç kalan bizmişiz gibi davranıyorlar. Sürekli dur kalk yapıyorlar, yolu bile bilmiyorlar. AŞTİ'den çıktık Ümitköy'e gittik, geri Eskişehir yolundan bağlandık."
48,"Vodafone Net müşteri hizmetleri 1 saattir bekletiyor. Gece müşteri temsilcisi yok, insanları boşuna bekletiyorlar. İnternet gitti, dönüş yapmıyorlar. Vodafone Net pişmanlıktır. Kesinlikle abonelik iptal edin. İnsanları abone yaptıktan sonra telefon açmayıp mağdur ediyorlar."
49,"İki gündür 20 günlük bebeğime kullanıyorum. Doktor tavsiyesi üzerine aldım ama bebeğim sürekli ağlıyor, susturamıyorum. Bu nasıl bir bebek ilacı anlamadım. Bitkisel diye sattığınız bu ürün bebeklere sadece eziyet ediyor. Bu ürün kalkmalı, bence satılmamalı."
50,Kargom 4 gündür Kocaeli mikro şubesinde bekliyor dağıtıma çıkmıyor. Arıyorum telefonları açan yok. Genel merkezi arıyorum ulaşamıyorum. Bu ne saçmalık. Kargomun artık elime ulaşmasını istiyorum. Canlı destekten ulaşabildim bir tek ondanda dönüş sağlanmadı
51,"02.07.2024 sabun paketleme T.C. İsim Soy İsim açık adres IBAN verdim. Herhangi bir şey olmasına karşı buraya yazıyorum. Ben hiçbir şey imzalamadım, bu da ispatım. Kendimi güvenceye almam lazım. Aşağıda da fotoğrafta paylaştığım gibi görüyorsunuz, her şey ortada."
53,"07.06.2024'te bir bilet aldım, onun geri ödemesini henüz almadım. Ayrıca 14.06.2024'te bir tane bilet aldım, hâlâ daha geri ödeme alamadım. Güvenerek girdim, maalesef ki hayal kırıklığına uğradım. Yani bir aydan beri bekliyorum, hatta 2 ay olacak geri dönüş alamadım maalesef."
57,"Merhaba, Tiktak hesabım olmamasına rağmen herhangi bir onay veya kod alınmadan kartımdan harcama yapıldı. Hesabım bir tek arkadaşımda olmasına rağmen ona sorduğumda ben yapmadım dedi. Müşteri hizmetlerini aradığımda ise kart sahibine bilgi veremiyoruz, arabayı kiralayan kişiye bilgi verebiliriz deyip kapattı. Lütfen yardımlarınızı bekliyorum."
60,2seans karşılığında 78bin tl ücret istediler 2seansta düzelir mi ki deyince sonrasında gene alabilirsiniz dediler. İşi ticari yöne çevirmişler. Başka bir şey demiyorum ki bana inandırıcı gelmedi. Yılların verdiği hasar 2seansta bitmez. İki ünlü çıkarmış şov yapıyor başka bir şey yok
63,Google Discord iznim dışında 3 Temmuz 2024 tarihi gece saat 01.03 ve 01.53 saatleri arasında yaklaşık 1300 TL paramı kartımdan çekmiştir. Gerekli mercilerin gerekeni yapmasını ve paramın iade edilmesini talep ediyorum. Aksi takdirde yasal haklarımı kullanacağım.
64,"Türk Hava Yolları Londra uçuşum 7 saatten fazla rötar yaptı. Havaalanında sabahladım. Tüm bu mağduriyetlerim için geri bildirimde bulundum ve bana dönüş Ajet uçuşuymuş, biz şirketleri ayırdık oldu. Ben biletimi sizden aldım. Siz kime sordunuz da Ajet ile uçurdunuz? Böyle bir olay görülmemiştir! Mağduriyette zirve!"
67,"Betvole hesap kapatımımı yapmıyor. Betvole denen insanlar hesap kapatım işlemi yapmak istememe rağmen kapatım yapmıyorlar. Hesap kapatımı için 90 gün kuralı koymuşlar, giriş yapılmaması gerekliymiş. 90 gün girmememe rağmen hesabım kapatılmadı."
69,Kartıma uygulama üzerinden yükleme yaptım ama bakiyeme yansımadı. Yüklenen miktara beklenen e-dolum diyor. Kaç kere yeniledim ama hala aynı. Saatlerdir bu şekilde duruyor. Sebebi nedir? Neden böyle oluyor ya da bu şekilde kartımı kullanabilir miyim? Yardımcı olur musunuz lütfen.
